日付,入院治療を要する者
2020/2/4,15.0
2020/2/5,16.0
2020/2/6,12.0
2020/2/7,12.0
2020/2/8,7.0
2020/2/9,7.0
2020/2/10,7.0
2020/2/11,6.0
2020/2/12,6.0
2020/2/13,6.0
2020/2/14,9.0
2020/2/15,24.0
2020/2/16,24.0
2020/2/17,24.0
2020/2/18,31.0
2020/2/19,35.0
2020/2/20,52.0
2020/2/21,62.0
2020/2/22,96.0
2020/2/23,108.0
2020/2/24,121.0
2020/2/25,125.0
2020/2/26,138.0
2020/2/27,161.0
2020/2/28,176.0
2020/2/29,188.0
2020/3/1,201.0
2020/3/2,212.0
2020/3/3,226.0
2020/3/4,258.0
2020/3/5,271.0
2020/3/6,323.0
2020/3/7,366.0
2020/3/8,377.0
2020/3/9,400.0
2020/3/10,437.0
2020/3/11,481.0
2020/3/12,520.0
2020/3/13,548.0
2020/3/14,591.0
2020/3/15,603.0
2020/3/16,621.0
2020/3/17,645.0
2020/3/18,659.0
2020/3/19,681.0
2020/3/20,723.0
2020/3/21,719.0
2020/3/22,743.0
2020/3/23,763.0
2020/3/24,816.0
2020/3/25,855.0
2020/3/26,920.0
2020/3/27,948.0
2020/3/28,1187.0
2020/3/29,1358.0
2020/3/30,1423.0
2020/3/31,1594.0
2020/4/1,1757.0
2020/4/2,1980.0
2020/4/3,2227.0
2020/4/4,2553.0
2020/4/5,2921.0
2020/4/6,3132.0
2020/4/7,3472.0
2020/4/8,3914.0
2020/4/9,4461.0
2020/4/10,5063.0
2020/4/11,5751.0
2020/4/12,6239.0
2020/4/13,6564.0
2020/4/14,6961.0
2020/4/15,7388.0
2020/4/16,7884.0
2020/4/17,8448.0
2020/4/18,8916.0
2020/4/19,9215.0
2020/4/20,9449.0
2020/4/21,9740.0
2020/4/22,10082.0
2020/4/23,10469.0
2020/4/24,10801.0
2020/4/25,11046.0
2020/4/26,11175.0
2020/4/27,11252.0
2020/4/28,11427.0
2020/4/29,11585.0
2020/4/30,11424.0
2020/5/1,11558.0
2020/5/2,11724.0
2020/5/3,11823.0
2020/5/4,11935.0
2020/5/5,11731.0
2020/5/6,11638.0
2020/5/7,11286.0
2020/5/8,6302.0
2020/5/9,6250.0
2020/5/10,6074.0
2020/5/11,5914.0
2020/5/12,5162.0
2020/5/13,4732.0
2020/5/14,4339.0
2020/5/15,4025.0
2020/5/16,3787.0
2020/5/17,3667.0
2020/5/18,3400.0
2020/5/19,3009.0
2020/5/20,2799.0
2020/5/21,2495.0
2020/5/22,2293.0
2020/5/23,2130.0
2020/5/24,2111.0
2020/5/25,1939.0
2020/5/26,1788.0
2020/5/27,1637.0
2020/5/28,1556.0
2020/5/29,1466.0
2020/5/30,1452.0
2020/5/31,1436.0
2020/6/1,1341.0
2020/6/2,1272.0
2020/6/3,1207.0
2020/6/4,1141.0
2020/6/5,1064.0
2020/6/6,1042.0
2020/6/7,1060.0
2020/6/8,1028.0
2020/6/9,965.0
2020/6/10,923.0
2020/6/11,854.0
2020/6/12,810.0
2020/6/13,801.0
2020/6/14,819.0
2020/6/15,871.0
2020/6/16,760.0
2020/6/17,712.0
2020/6/18,707.0
2020/6/19,677.0
2020/6/20,711.0
2020/6/21,732.0
2020/6/22,706.0
2020/6/23,698.0
2020/6/24,713.0
2020/6/25,727.0
2020/6/26,757.0
2020/6/27,790.0
2020/6/28,822.0
2020/6/29,869.0
2020/6/30,897.0
2020/7/1,1006.0
2020/7/2,1105.0
2020/7/3,1224.0
2020/7/4,1386.0
2020/7/5,1552.0
2020/7/6,1671.0
2020/7/7,1721.0
2020/7/8,1776.0
2020/7/9,1929.0
2020/7/10,2139.0
2020/7/11,2339.0
2020/7/12,2587.0
2020/7/13,2754.0
2020/7/14,2789.0
2020/7/15,2885.0
2020/7/16,3191.0
2020/7/17,3560.0
2020/7/18,3865.0
2020/7/19,4113.0
2020/7/20,4345.0
2020/7/21,4421.0
2020/7/22,4751.0
2020/7/23,5369.0
2020/7/24,5949.0
2020/7/25,6315.0
2020/7/26,6573.0
2020/7/27,6828.0
2020/7/28,7063.0
2020/7/29,7508.0
2020/7/30,8062.0
2020/7/31,8945.0
2020/8/1,9950.0
2020/8/2,10330.0
2020/8/3,9887.0
2020/8/4,11337.0
2020/8/5,11881.0
2020/8/6,12167.0
2020/8/7,12382.0
2020/8/8,13011.0
2020/8/9,13633.0
2020/8/10,13724.0
2020/8/11,13612.0
2020/8/12,13289.0
2020/8/13,13043.0
2020/8/14,12984.0
2020/8/15,13084.0
2020/8/16,13020.0
2020/8/17,12778.0
2020/8/18,12097.0
2020/8/19,11702.0
2020/8/20,11727.0
2020/8/21,11615.0
2020/8/22,11747.0
2020/8/23,11731.0
2020/8/24,11225.0
2020/8/25,10663.0
2020/8/26,10323.0
2020/8/27,10127.0
2020/8/28,9708.0
2020/8/29,9705.0
2020/8/30,9658.0
2020/8/31,9142.0
2020/9/1,9111.0
2020/9/2,8608.0
2020/9/3,8371.0
2020/9/4,7965.0
2020/9/5,7917.0
2020/9/6,7877.0
2020/9/7,7449.0
2020/9/8,7108.0
2020/9/9,6849.0
2020/9/10,6771.0
2020/9/11,6693.0
2020/9/12,6763.0
2020/9/13,6849.0
2020/9/14,6573.0
2020/9/15,6353.0
2020/9/16,6179.0
2020/9/17,6018.0
2020/9/18,6032.0
2020/9/19,6027.0
2020/9/20,6132.0
2020/9/21,6169.0
2020/9/22,6126.0
2020/9/23,5905.0
2020/9/24,5384.0
2020/9/25,5265.0
2020/9/26,5451.0
2020/9/27,5501.0
2020/9/28,5379.0
2020/9/29,5330.0
2020/9/30,5304.0
2020/10/1,5326.0
2020/10/2,5281.0
2020/10/3,5319.0
2020/10/4,5406.0
2020/10/5,5260.0
2020/10/6,5131.0
2020/10/7,5056.0
2020/10/8,5160.0
2020/10/9,5120.0
2020/10/10,5292.0
2020/10/11,5443.0
2020/10/12,5245.0
2020/10/13,5162.0
2020/10/14,5054.0
2020/10/15,5176.0
2020/10/16,5205.0
2020/10/17,5326.0
2020/10/18,5375.0
2020/10/19,5174.0
2020/10/20,5031.0
2020/10/21,5038.0
2020/10/22,5071.0
2020/10/23,5220.0
2020/10/24,5440.0
2020/10/25,5507.0
2020/10/26,5503.0
2020/10/27,5448.0
2020/10/28,5642.0
2020/10/29,5848.0
2020/10/30,6012.0
2020/10/31,6247.0
2020/11/1,6475.0
2020/11/2,6470.0
2020/11/3,6635.0
2020/11/4,6708.0
2020/11/5,7076.0
2020/11/6,7503.0
2020/11/7,7905.0
2020/11/8,8347.0
2020/11/9,8703.0
2020/11/10,9049.0
2020/11/11,9676.0
2020/11/12,10244.0
2020/11/13,10927.0
2020/11/14,11765.0
2020/11/15,12363.0
2020/11/16,12570.0
2020/11/17,12982.0
2020/11/18,13834.0
2020/11/19,14709.0
2020/11/20,15629.0
2020/11/21,16824.0
2020/11/22,17879.0
2020/11/23,18393.0
2020/11/24,18428.0
2020/11/25,18567.0
2020/11/26,19107.0
2020/11/27,19511.0
2020/11/28,20413.0
2020/11/29,20916.0
2020/11/30,20903.0
2020/12/1,20602.0
2020/12/2,21046.0
2020/12/3,21570.0
2020/12/4,21741.0
2020/12/5,22251.0
2020/12/6,22537.0
2020/12/7,22187.0
2020/12/8,22412.0
2020/12/9,22683.0
2020/12/10,23646.0
2020/12/11,23867.0
2020/12/12,24981.0
2020/12/13,25536.0
2020/12/14,25093.0
2020/12/15,25142.0
2020/12/16,25287.0
2020/12/17,25629.0
2020/12/18,26064.0
2020/12/19,26743.0
2020/12/20,26816.0
2020/12/21,27147.0
2020/12/22,26863.0
2020/12/23,27077.0
2020/12/24,28154.0
2020/12/25,29278.0
2020/12/26,30369.0
2020/12/27,31098.0
2020/12/28,31694.0
2020/12/29,32477.0
2020/12/30,34037.0
2020/12/31,36052.0
2021/1/1,37187.0
2021/1/2,38031.0
2021/1/3,38729.0
2021/1/4,39905.0
2021/1/5,40908.0
2021/1/6,43423.0
2021/1/7,46780.0
2021/1/8,51125.0
2021/1/9,55238.0
2021/1/10,58622.0
2021/1/11,61449.0
2021/1/12,62930.0
2021/1/13,63648.0
2021/1/14,65118.0
2021/1/15,66628.0
2021/1/16,68321.0
2021/1/17,69983.0
2021/1/18,71129.0
2021/1/19,69352.0
2021/1/20,66436.0
2021/1/21,66106.0
2021/1/22,65152.0
2021/1/23,64535.0
2021/1/24,63663.0
2021/1/25,60933.0
2021/1/26,58007.0
2021/1/27,55515.0
2021/1/28,53532.0
2021/1/29,51764.0
2021/1/30,50422.0
2021/1/31,49430.0
2021/2/1,46319.0
2021/2/2,43743.0
2021/2/3,41028.0
2021/2/4,38332.0
2021/2/5,36288.0
2021/2/6,34876.0
2021/2/7,33400.0
2021/2/8,31536.0
2021/2/9,29199.0
2021/2/10,27889.0
2021/2/11,26993.0
2021/2/12,25376.0
2021/2/13,24489.0
2021/2/14,23374.0
2021/2/15,22614.0
2021/2/16,20331.0
2021/2/17,19272.0
2021/2/18,18870.0
2021/2/19,18336.0
2021/2/20,17841.0
2021/2/21,17487.0
2021/2/22,16780.0
2021/2/23,16109.0
2021/2/24,15313.0
2021/2/25,14917.0
2021/2/26,14463.0
2021/2/27,14325.0
2021/2/28,14013.0
2021/3/1,13134.0
2021/3/2,12738.0
2021/3/3,12380.0
2021/3/4,12244.0
2021/3/5,12120.0
2021/3/6,12155.0
2021/3/7,12154.0
2021/3/8,11734.0
2021/3/9,11581.0
2021/3/10,11648.0
