日付,PCR 検査陽性者数(単日)
2020/1/16,1.0
2020/1/17,0.0
2020/1/18,0.0
2020/1/19,0.0
2020/1/20,0.0
2020/1/21,0.0
2020/1/22,0.0
2020/1/23,0.0
2020/1/24,1.0
2020/1/25,1.0
2020/1/26,1.0
2020/1/27,0.0
2020/1/28,3.0
2020/1/29,1.0
2020/1/30,4.0
2020/1/31,0.0
2020/2/1,0.0
2020/2/2,0.0
2020/2/3,0.0
2020/2/4,1.0
2020/2/5,2.0
2020/2/6,0.0
2020/2/7,0.0
2020/2/8,0.0
2020/2/9,0.0
2020/2/10,0.0
2020/2/11,1.0
2020/2/12,1.0
2020/2/13,3.0
2020/2/14,5.0
2020/2/15,4.0
2020/2/16,1.0
2020/2/17,6.0
2020/2/18,8.0
2020/2/19,9.0
2020/2/20,8.0
2020/2/21,13.0
2020/2/22,23.0
2020/2/23,10.0
2020/2/24,16.0
2020/2/25,8.0
2020/2/26,22.0
2020/2/27,24.0
2020/2/28,19.0
2020/2/29,9.0
2020/3/1,14.0
2020/3/2,14.0
2020/3/3,22.0
2020/3/4,34.0
2020/3/5,33.0
2020/3/6,54.0
2020/3/7,44.0
2020/3/8,35.0
2020/3/9,27.0
2020/3/10,60.0
2020/3/11,52.0
2020/3/12,55.0
2020/3/13,34.0
2020/3/14,62.0
2020/3/15,29.0
2020/3/16,16.0
2020/3/17,45.0
2020/3/18,39.0
2020/3/19,39.0
2020/3/20,52.0
2020/3/21,35.0
2020/3/22,45.0
2020/3/23,39.0
2020/3/24,89.0
2020/3/25,93.0
2020/3/26,93.0
2020/3/27,96.0
2020/3/28,222.0
2020/3/29,151.0
2020/3/30,80.0
2020/3/31,227.0
2020/4/1,257.0
2020/4/2,281.0
2020/4/3,353.0
2020/4/4,365.0
2020/4/5,346.0
2020/4/6,248.0
2020/4/7,365.0
2020/4/8,522.0
2020/4/9,574.0
2020/4/10,640.0
2020/4/11,644.0
2020/4/12,486.0
2020/4/13,387.0
2020/4/14,446.0
2020/4/15,552.0
2020/4/16,558.0
2020/4/17,572.0
2020/4/18,577.0
2020/4/19,377.0
2020/4/20,346.0
2020/4/21,389.0
2020/4/22,446.0
2020/4/23,439.0
2020/4/24,444.0
2020/4/25,371.0
2020/4/26,224.0
2020/4/27,182.0
2020/4/28,279.0
2020/4/29,217.0
2020/4/30,202.0
2020/5/1,282.0
2020/5/2,288.0
2020/5/3,195.0
2020/5/4,181.0
2020/5/5,119.0
2020/5/6,104.0
2020/5/7,107.0
2020/5/8,88.0
2020/5/9,108.0
2020/5/10,66.0
2020/5/11,58.0
2020/5/12,87.0
2020/5/13,55.0
2020/5/14,99.0
2020/5/15,55.0
2020/5/16,56.0
2020/5/17,29.0
2020/5/18,30.0
2020/5/19,32.0
2020/5/20,37.0
2020/5/21,45.0
2020/5/22,30.0
2020/5/23,30.0
2020/5/24,40.0
2020/5/25,22.0
2020/5/26,27.0
2020/5/27,37.0
2020/5/28,62.0
2020/5/29,63.0
2020/5/30,46.0
2020/5/31,33.0
2020/6/1,36.0
2020/6/2,51.0
2020/6/3,26.0
2020/6/4,45.0
2020/6/5,41.0
2020/6/6,45.0
2020/6/7,32.0
2020/6/8,22.0
2020/6/9,30.0
2020/6/10,36.0
2020/6/11,40.0
2020/6/12,57.0
2020/6/13,43.0
2020/6/14,62.0
2020/6/15,60.0
2020/6/16,42.0
2020/6/17,43.0
2020/6/18,68.0
2020/6/19,54.0
2020/6/20,65.0
2020/6/21,48.0
2020/6/22,40.0
