日付,重症者数
2020/2/5,0.0
2020/2/6,0.0
2020/2/7,0.0
2020/2/8,0.0
2020/2/9,0.0
2020/2/10,0.0
2020/2/11,0.0
2020/2/12,0.0
2020/2/13,0.0
2020/2/14,2.0
2020/2/15,3.0
2020/2/16,3.0
2020/2/17,3.0
2020/2/18,6.0
2020/2/19,7.0
2020/2/20,9.0
2020/2/21,10.0
2020/2/22,11.0
2020/2/23,13.0
2020/2/24,14.0
2020/2/25,15.0
2020/2/26,16.0
2020/2/27,20.0
2020/2/28,22.0
2020/2/29,23.0
2020/3/1,23.0
2020/3/2,24.0
2020/3/3,24.0
2020/3/4,27.0
2020/3/5,30.0
2020/3/6,28.0
2020/3/7,33.0
2020/3/8,33.0
2020/3/9,31.0
2020/3/10,26.0
2020/3/11,29.0
2020/3/12,32.0
2020/3/13,35.0
2020/3/14,36.0
2020/3/15,41.0
2020/3/16,46.0
2020/3/17,46.0
2020/3/18,49.0
2020/3/19,50.0
2020/3/20,55.0
2020/3/21,57.0
2020/3/22,54.0
2020/3/23,55.0
2020/3/24,57.0
2020/3/25,56.0
2020/3/26,57.0
2020/3/27,60.0
2020/3/28,59.0
2020/3/29,59.0
2020/3/30,59.0
2020/3/31,60.0
2020/4/1,62.0
2020/4/2,64.0
2020/4/3,69.0
2020/4/4,70.0
2020/4/5,79.0
2020/4/6,80.0
2020/4/7,99.0
2020/4/8,109.0
2020/4/9,117.0
2020/4/10,122.0
2020/4/11,129.0
2020/4/12,135.0
2020/4/13,152.0
2020/4/14,168.0
2020/4/15,193.0
2020/4/16,207.0
2020/4/17,211.0
2020/4/18,217.0
2020/4/19,231.0
2020/4/20,232.0
2020/4/21,241.0
2020/4/22,259.0
2020/4/23,263.0
2020/4/24,287.0
2020/4/25,296.0
2020/4/26,300.0
2020/4/27,305.0
2020/4/28,306.0
2020/4/29,308.0
2020/4/30,328.0
2020/5/1,324.0
2020/5/2,321.0
2020/5/3,308.0
2020/5/4,309.0
2020/5/5,308.0
2020/5/6,300.0
2020/5/7,287.0
2020/5/8,266.0
2020/5/9,267.0
2020/5/10,249.0
2020/5/11,243.0
2020/5/12,259.0
2020/5/13,245.0
2020/5/14,237.0
2020/5/15,232.0
2020/5/16,230.0
2020/5/17,228.0
2020/5/18,213.0
2020/5/19,210.0
2020/5/20,195.0
2020/5/21,176.0
2020/5/22,174.0
2020/5/23,168.0
2020/5/24,165.0
2020/5/25,155.0
2020/5/26,147.0
2020/5/27,136.0
2020/5/28,131.0
2020/5/29,123.0
2020/5/30,119.0
2020/5/31,115.0
2020/6/1,113.0
2020/6/2,101.0
2020/6/3,102.0
2020/6/4,98.0
2020/6/5,99.0
2020/6/6,98.0
2020/6/7,99.0
2020/6/8,92.0
2020/6/9,91.0
2020/6/10,88.0
2020/6/11,82.0
2020/6/12,76.0
2020/6/13,73.0
2020/6/14,71.0
2020/6/15,80.0
2020/6/16,70.0
2020/6/17,62.0
2020/6/18,62.0
2020/6/19,61.0
2020/6/20,59.0
2020/6/21,59.0
2020/6/22,62.0
2020/6/23,60.0
2020/6/24,58.0
2020/6/25,51.0
2020/6/26,48.0
2020/6/27,45.0
2020/6/28,43.0
2020/6/29,42.0
2020/6/30,40.0
2020/7/1,37.0
2020/7/2,33.0
2020/7/3,32.0
2020/7/4,33.0
2020/7/5,34.0
2020/7/6,36.0
2020/7/7,35.0
2020/7/8,38.0
2020/7/9,31.0
2020/7/10,33.0
2020/7/11,32.0
2020/7/12,34.0
2020/7/13,40.0
2020/7/14,38.0
2020/7/15,37.0
2020/7/16,39.0
2020/7/17,41.0
2020/7/18,43.0
2020/7/19,47.0
2020/7/20,52.0
2020/7/21,55.0
2020/7/22,59.0
2020/7/23,68.0
2020/7/24,64.0
2020/7/25,66.0
2020/7/26,67.0
2020/7/27,76.0
2020/7/28,81.0
2020/7/29,90.0
2020/7/30,87.0
2020/7/31,80.0
2020/8/1,84.0
2020/8/2,83.0
2020/8/3,88.0
2020/8/4,104.0
2020/8/5,116.0
2020/8/6,132.0
2020/8/7,139.0
2020/8/8,156.0
2020/8/9,162.0
2020/8/10,171.0
2020/8/11,177.0
2020/8/12,203.0
2020/8/13,211.0
2020/8/14,229.0
2020/8/15,232.0
2020/8/16,242.0
2020/8/17,243.0
2020/8/18,239.0
2020/8/19,237.0
2020/8/20,247.0
2020/8/21,246.0
2020/8/22,258.0
2020/8/23,262.0
2020/8/24,255.0
2020/8/25,251.0
2020/8/26,243.0
2020/8/27,232.0
2020/8/28,233.0
2020/8/29,237.0
2020/8/30,239.0
2020/8/31,237.0
2020/9/1,228.0
2020/9/2,221.0
2020/9/3,217.0
2020/9/4,214.0
2020/9/5,215.0
2020/9/6,214.0
2020/9/7,207.0
2020/9/8,207.0
2020/9/9,202.0
2020/9/10,195.0
2020/9/11,194.0
2020/9/12,184.0
2020/9/13,190.0
2020/9/14,179.0
2020/9/15,183.0
2020/9/16,172.0
2020/9/17,176.0
2020/9/18,166.0
2020/9/19,165.0
2020/9/20,169.0
2020/9/21,169.0
2020/9/22,170.0
2020/9/23,170.0
2020/9/24,167.0
2020/9/25,160.0
2020/9/26,164.0
2020/9/27,163.0
2020/9/28,165.0
2020/9/29,155.0
2020/9/30,155.0
2020/10/1,149.0
2020/10/2,141.0
2020/10/3,137.0
2020/10/4,135.0
2020/10/5,144.0
2020/10/6,145.0
2020/10/7,147.0
2020/10/8,145.0
2020/10/9,151.0
2020/10/10,149.0
2020/10/11,150.0
2020/10/12,152.0
2020/10/13,154.0
2020/10/14,150.0
2020/10/15,152.0
2020/10/16,152.0
2020/10/17,149.0
2020/10/18,148.0
2020/10/19,146.0
2020/10/20,153.0
2020/10/21,153.0
2020/10/22,154.0
2020/10/23,156.0
2020/10/24,160.0
2020/10/25,163.0
2020/10/26,166.0
2020/10/27,167.0
2020/10/28,162.0
2020/10/29,157.0
2020/10/30,162.0
2020/10/31,161.0
2020/11/1,164.0
2020/11/2,164.0
2020/11/3,166.0
2020/11/4,184.0
2020/11/5,190.0
2020/11/6,195.0
2020/11/7,197.0
2020/11/8,205.0
2020/11/9,209.0
2020/11/10,204.0
2020/11/11,226.0
2020/11/12,231.0
2020/11/13,234.0
2020/11/14,243.0
2020/11/15,251.0
2020/11/16,272.0
2020/11/17,276.0
2020/11/18,280.0
2020/11/19,291.0
2020/11/20,313.0
2020/11/21,323.0
2020/11/22,331.0
2020/11/23,345.0
2020/11/24,376.0
2020/11/25,410.0
2020/11/26,435.0
2020/11/27,440.0
2020/11/28,462.0
2020/11/29,472.0
2020/11/30,493.0
2020/12/1,488.0
2020/12/2,497.0
2020/12/3,505.0
2020/12/4,520.0
2020/12/5,519.0
2020/12/6,530.0
2020/12/7,536.0
2020/12/8,555.0
2020/12/9,543.0
2020/12/10,554.0
2020/12/11,578.0
2020/12/12,583.0
2020/12/13,588.0
2020/12/14,592.0
2020/12/15,618.0
2020/12/16,605.0
2020/12/17,609.0
2020/12/18,598.0
2020/12/19,593.0
2020/12/20,603.0
2020/12/21,620.0
2020/12/22,619.0
2020/12/23,644.0
2020/12/24,644.0
2020/12/25,654.0
2020/12/26,659.0
2020/12/27,661.0
2020/12/28,675.0
2020/12/29,668.0
2020/12/30,681.0
2020/12/31,716.0
2021/1/1,711.0
2021/1/2,714.0
2021/1/3,731.0
2021/1/4,771.0
2021/1/5,784.0
2021/1/6,796.0
2021/1/7,826.0
2021/1/8,827.0
2021/1/9,852.0
2021/1/10,864.0
2021/1/11,881.0
